suburb,state,sal_code,census_year,median_age,median_household_income_weekly,avg_household_size,owner_occupied_pct,renter_pct,household_composition_json
Apple Tree Flat,NSW,SAL10065,2021,49.0,1375.0,2.4,105.9,0.0,"{""family_household_pct"": 82.4, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 23.5}"
Appleby,NSW,SAL10066,2021,41.0,1812.0,3.5,69.2,53.8,"{""family_household_pct"": 61.5, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Appletree Flat,NSW,SAL10067,2021,33.0,1375.0,2.6,40.0,50.0,"{""family_household_pct"": 40.0, ""non_family_household_pct"": 40.0, ""lone_person_pct"": 40.0}"
Apsley,NSW,SAL10068,2021,47.0,1437.0,2.5,89.7,15.4,"{""family_household_pct"": 89.7, ""non_family_household_pct"": 30.8, ""lone_person_pct"": 20.5}"
Arable,NSW,SAL10069,2021,46.0,3125.0,2.4,100.0,0.0,"{""family_household_pct"": 80.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Arakoon,NSW,SAL10070,2021,59.0,1321.0,2.2,90.7,8.2,"{""family_household_pct"": 75.3, ""non_family_household_pct"": 24.2, ""lone_person_pct"": 21.4}"
Araluen,NSW,SAL10071,2021,53.0,1042.0,2.1,92.4,6.5,"{""family_household_pct"": 64.1, ""non_family_household_pct"": 40.2, ""lone_person_pct"": 32.6}"
Aratula,NSW,SAL10072,2021,54.0,0.0,4.0,,,
Arcadia,NSW,SAL10073,2021,46.0,2659.0,3.2,82.8,11.0,"{""family_household_pct"": 84.3, ""non_family_household_pct"": 15.2, ""lone_person_pct"": 13.9}"
Arcadia Vale,NSW,SAL10074,2021,45.0,1550.0,2.5,80.5,17.3,"{""family_household_pct"": 75.4, ""non_family_household_pct"": 23.2, ""lone_person_pct"": 21.7}"
Ardglen,NSW,SAL10075,2021,58.0,1041.0,2.1,94.1,23.5,"{""family_household_pct"": 94.1, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 52.9}"
Arding,NSW,SAL10076,2021,53.0,1328.0,2.3,97.2,7.0,"{""family_household_pct"": 70.4, ""non_family_household_pct"": 25.4, ""lone_person_pct"": 22.5}"
Ardlethan,NSW,SAL10077,2021,55.0,786.0,2.0,72.0,15.4,"{""family_household_pct"": 56.5, ""non_family_household_pct"": 43.9, ""lone_person_pct"": 40.2}"
Argalong,NSW,SAL10078,2021,44.0,1999.0,2.7,60.0,0.0,"{""family_household_pct"": 160.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Argenton,NSW,SAL10079,2021,40.0,1318.0,2.3,58.1,39.6,"{""family_household_pct"": 64.0, ""non_family_household_pct"": 36.2, ""lone_person_pct"": 30.7}"
Argents Hill,NSW,SAL10080,2021,52.0,1042.0,2.3,77.2,11.4,"{""family_household_pct"": 68.4, ""non_family_household_pct"": 34.2, ""lone_person_pct"": 22.8}"
Argoon,NSW,SAL10081,2021,45.0,2750.0,3.5,,,
Ariah Park,NSW,SAL10082,2021,51.0,1010.0,2.3,74.7,15.7,"{""family_household_pct"": 68.0, ""non_family_household_pct"": 33.1, ""lone_person_pct"": 30.3}"
Arkell,NSW,SAL10083,2021,47.0,1593.0,2.9,122.2,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Arkstone,NSW,SAL10084,2021,41.0,1625.0,3.5,66.7,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 50.0, ""lone_person_pct"": 0.0}"
Armatree,NSW,SAL10085,2021,43.0,1333.0,2.5,69.5,10.2,"{""family_household_pct"": 55.9, ""non_family_household_pct"": 39.0, ""lone_person_pct"": 37.3}"
Armidale,NSW,SAL10086,2021,36.0,1432.0,2.3,59.1,37.7,"{""family_household_pct"": 62.8, ""non_family_household_pct"": 37.2, ""lone_person_pct"": 32.8}"
Arncliffe,NSW,SAL10087,2021,34.0,2046.0,2.7,56.1,40.4,"{""family_household_pct"": 70.4, ""non_family_household_pct"": 29.5, ""lone_person_pct"": 22.6}"
Arndell Park,NSW,SAL10088,2021,45.0,1375.0,1.3,0.0,100.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Arrawarra,NSW,SAL10089,2021,66.0,718.0,1.9,80.1,14.7,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 50.7, ""lone_person_pct"": 45.8}"
Arrawarra Headland,NSW,SAL10090,2021,47.0,1605.0,2.7,80.0,15.8,"{""family_household_pct"": 80.5, ""non_family_household_pct"": 21.4, ""lone_person_pct"": 14.9}"
Artarmon,NSW,SAL10091,2021,37.0,2420.0,2.5,47.6,49.9,"{""family_household_pct"": 69.4, ""non_family_household_pct"": 30.6, ""lone_person_pct"": 25.2}"
Arthurville,NSW,SAL10092,2021,46.0,2166.0,2.8,113.3,0.0,"{""family_household_pct"": 86.7, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Arumpo,NSW,SAL10093,2021,35.0,1843.0,2.8,0.0,0.0,"{""family_household_pct"": 81.8, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Ashbury,NSW,SAL10094,2021,44.0,2571.0,2.9,86.1,12.3,"{""family_household_pct"": 83.0, ""non_family_household_pct"": 16.8, ""lone_person_pct"": 15.4}"
Ashby,NSW,SAL10095,2021,61.0,1113.0,2.0,94.6,2.3,"{""family_household_pct"": 73.6, ""non_family_household_pct"": 29.5, ""lone_person_pct"": 27.9}"
Ashby Heights,NSW,SAL10096,2021,55.0,1233.0,2.4,92.0,6.2,"{""family_household_pct"": 75.2, ""non_family_household_pct"": 20.4, ""lone_person_pct"": 16.8}"
Ashby Island,NSW,SAL10097,2021,57.0,1024.0,2.3,85.7,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
