suburb,state,sal_code,census_year,median_age,median_household_income_weekly,avg_household_size,owner_occupied_pct,renter_pct,household_composition_json
Stockyard Hill,VIC,SAL22360,2021,41.0,2250.0,2.7,84.6,30.8,"{""family_household_pct"": 69.2, ""non_family_household_pct"": 23.1, ""lone_person_pct"": 30.8}"
Stonehaven,VIC,SAL22361,2021,44.0,2750.0,2.8,91.3,21.7,"{""family_household_pct"": 78.3, ""non_family_household_pct"": 13.0, ""lone_person_pct"": 13.0}"
Stoneleigh,VIC,SAL22362,2021,45.0,1687.0,2.6,61.5,0.0,"{""family_household_pct"": 84.6, ""non_family_household_pct"": 23.1, ""lone_person_pct"": 0.0}"
Stony Creek,VIC,SAL22363,2021,54.0,900.0,3.0,,,
Stony Creek,VIC,SAL22364,2021,41.0,1625.0,2.7,84.4,11.9,"{""family_household_pct"": 74.3, ""non_family_household_pct"": 21.1, ""lone_person_pct"": 20.2}"
Stonyford,VIC,SAL22365,2021,56.0,2035.0,2.1,52.2,13.0,"{""family_household_pct"": 82.6, ""non_family_household_pct"": 39.1, ""lone_person_pct"": 17.4}"
Stradbroke,VIC,SAL22366,2021,51.0,1416.0,2.3,93.5,3.9,"{""family_household_pct"": 67.5, ""non_family_household_pct"": 28.6, ""lone_person_pct"": 29.9}"
Strangways,VIC,SAL22367,2021,55.0,1406.0,2.2,105.4,8.1,"{""family_household_pct"": 78.4, ""non_family_household_pct"": 29.7, ""lone_person_pct"": 16.2}"
Straten,VIC,SAL22368,2021,8.0,2374.0,4.5,,,
Stratford,VIC,SAL22369,2021,39.0,1419.0,2.5,83.7,12.3,"{""family_household_pct"": 73.2, ""non_family_household_pct"": 26.4, ""lone_person_pct"": 25.2}"
Strath Creek,VIC,SAL22370,2021,49.0,1375.0,2.2,84.6,12.3,"{""family_household_pct"": 58.5, ""non_family_household_pct"": 43.1, ""lone_person_pct"": 40.0}"
Strathallan,VIC,SAL22371,2021,43.0,2083.0,3.0,83.7,14.3,"{""family_household_pct"": 87.8, ""non_family_household_pct"": 18.4, ""lone_person_pct"": 20.4}"
Strathbogie,VIC,SAL22372,2021,57.0,1151.0,2.1,85.8,8.5,"{""family_household_pct"": 66.7, ""non_family_household_pct"": 36.2, ""lone_person_pct"": 32.6}"
Strathdale,VIC,SAL22373,2021,46.0,1527.0,2.3,73.6,24.9,"{""family_household_pct"": 67.4, ""non_family_household_pct"": 32.7, ""lone_person_pct"": 30.3}"
Strathdownie,VIC,SAL22374,2021,43.0,2166.0,2.7,96.6,5.1,"{""family_household_pct"": 76.3, ""non_family_household_pct"": 18.6, ""lone_person_pct"": 16.9}"
Strathewen,VIC,SAL22375,2021,41.0,2094.0,2.8,79.3,13.8,"{""family_household_pct"": 74.1, ""non_family_household_pct"": 32.8, ""lone_person_pct"": 19.0}"
Strathfieldsaye,VIC,SAL22376,2021,36.0,2237.0,3.0,85.8,13.0,"{""family_household_pct"": 86.6, ""non_family_household_pct"": 13.5, ""lone_person_pct"": 11.9}"
Strathkellar,VIC,SAL22377,2021,51.0,1449.0,2.5,72.2,8.3,"{""family_household_pct"": 66.7, ""non_family_household_pct"": 11.1, ""lone_person_pct"": 11.1}"
Strathlea,VIC,SAL22378,2021,38.0,900.0,2.0,63.6,0.0,"{""family_household_pct"": 45.5, ""non_family_household_pct"": 81.8, ""lone_person_pct"": 81.8}"
Strathmerton,VIC,SAL22379,2021,38.0,1404.0,2.7,74.0,20.2,"{""family_household_pct"": 71.8, ""non_family_household_pct"": 27.3, ""lone_person_pct"": 26.0}"
Strathmore,VIC,SAL22380,2021,41.0,2506.0,2.8,81.1,16.9,"{""family_household_pct"": 78.8, ""non_family_household_pct"": 21.1, ""lone_person_pct"": 19.4}"
Strathmore Heights,VIC,SAL22381,2021,42.0,1975.0,2.8,81.6,16.5,"{""family_household_pct"": 80.3, ""non_family_household_pct"": 20.3, ""lone_person_pct"": 16.5}"
Strathtulloh,VIC,SAL22382,2021,29.0,2188.0,3.2,72.5,25.7,"{""family_household_pct"": 87.8, ""non_family_household_pct"": 12.4, ""lone_person_pct"": 9.6}"
Streatham,VIC,SAL22383,2021,44.0,1083.0,2.5,87.3,14.5,"{""family_household_pct"": 74.5, ""non_family_household_pct"": 29.1, ""lone_person_pct"": 30.9}"
Strzelecki,VIC,SAL22384,2021,43.0,1583.0,2.5,91.7,0.0,"{""family_household_pct"": 66.7, ""non_family_household_pct"": 19.4, ""lone_person_pct"": 19.4}"
Stuart Mill,VIC,SAL22385,2021,57.0,1042.0,2.1,86.8,0.0,"{""family_household_pct"": 52.6, ""non_family_household_pct"": 39.5, ""lone_person_pct"": 47.4}"
Sugarloaf,VIC,SAL22386,2021,48.0,725.0,2.4,42.9,0.0,"{""family_household_pct"": 42.9, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sugarloaf Creek,VIC,SAL22387,2021,49.0,2175.0,3.0,95.8,8.3,"{""family_household_pct"": 86.1, ""non_family_household_pct"": 8.3, ""lone_person_pct"": 5.6}"
Suggan Buggan,VIC,SAL22388,2021,65.0,725.0,1.3,,,
Sulky,VIC,SAL22389,2021,45.0,2250.0,2.8,95.2,0.0,"{""family_household_pct"": 82.1, ""non_family_household_pct"": 13.1, ""lone_person_pct"": 16.7}"
Summerlands,VIC,SAL22390,2021,0.0,0.0,0.0,,,
Sunbury,VIC,SAL22391,2021,38.0,1925.0,2.6,77.6,20.4,"{""family_household_pct"": 75.8, ""non_family_household_pct"": 24.2, ""lone_person_pct"": 21.9}"
Sunday Creek,VIC,SAL22392,2021,43.0,2183.0,2.8,94.2,2.5,"{""family_household_pct"": 83.3, ""non_family_household_pct"": 15.0, ""lone_person_pct"": 15.8}"
Sunderland Bay,VIC,SAL22393,2021,41.0,1264.0,2.3,74.0,20.3,"{""family_household_pct"": 64.2, ""non_family_household_pct"": 37.4, ""lone_person_pct"": 33.3}"
Sunset Strip,VIC,SAL22394,2021,38.0,1009.0,2.4,69.0,26.1,"{""family_household_pct"": 60.1, ""non_family_household_pct"": 38.4, ""lone_person_pct"": 34.5}"
Sunshine,VIC,SAL22395,2021,35.0,1566.0,2.6,55.7,40.4,"{""family_household_pct"": 66.8, ""non_family_household_pct"": 33.2, ""lone_person_pct"": 25.5}"
Sunshine North,VIC,SAL22396,2021,37.0,1399.0,2.9,66.2,29.5,"{""family_household_pct"": 72.4, ""non_family_household_pct"": 27.6, ""lone_person_pct"": 22.2}"
Sunshine West,VIC,SAL22397,2021,38.0,1416.0,2.8,68.3,27.8,"{""family_household_pct"": 74.1, ""non_family_household_pct"": 26.0, ""lone_person_pct"": 21.5}"
Surf Beach,VIC,SAL22398,2021,46.0,1414.0,2.3,78.5,16.5,"{""family_household_pct"": 67.0, ""non_family_household_pct"": 34.1, ""lone_person_pct"": 30.3}"
Surrey Hills,VIC,SAL22399,2021,42.0,2503.0,2.6,76.5,21.6,"{""family_household_pct"": 74.0, ""non_family_household_pct"": 26.0, ""lone_person_pct"": 23.2}"
Sutherland,VIC,SAL22400,2021,66.0,2749.0,1.9,66.7,0.0,"{""family_household_pct"": 111.1, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sutherlands Creek,VIC,SAL22401,2021,41.0,3250.0,3.2,75.7,8.1,"{""family_household_pct"": 86.5, ""non_family_household_pct"": 10.8, ""lone_person_pct"": 0.0}"
Sutton,VIC,SAL22402,2021,52.0,2374.0,2.0,,,
Sutton Grange,VIC,SAL22403,2021,48.0,1437.0,2.5,91.1,8.9,"{""family_household_pct"": 89.3, ""non_family_household_pct"": 17.9, ""lone_person_pct"": 17.9}"
Swan Bay,VIC,SAL22404,2021,61.0,784.0,2.0,71.4,20.4,"{""family_household_pct"": 49.0, ""non_family_household_pct"": 49.0, ""lone_person_pct"": 49.0}"
Swan Hill,VIC,SAL22405,2021,38.0,1390.0,2.3,65.0,31.8,"{""family_household_pct"": 66.0, ""non_family_household_pct"": 34.0, ""lone_person_pct"": 30.6}"
Swan Hill West,VIC,SAL22406,2021,26.0,4750.0,4.0,,,
Swan Island,VIC,SAL22407,2021,0.0,0.0,0.0,,,
Swan Marsh,VIC,SAL22408,2021,45.0,1458.0,2.6,65.2,13.0,"{""family_household_pct"": 76.1, ""non_family_household_pct"": 26.1, ""lone_person_pct"": 13.0}"
Swan Reach,VIC,SAL22409,2021,51.0,1074.0,2.4,85.2,11.6,"{""family_household_pct"": 75.1, ""non_family_household_pct"": 23.7, ""lone_person_pct"": 23.4}"
Swanpool,VIC,SAL22410,2021,54.0,1104.0,2.2,79.1,17.6,"{""family_household_pct"": 72.5, ""non_family_household_pct"": 31.9, ""lone_person_pct"": 29.7}"
Swanwater,VIC,SAL22411,2021,67.0,1875.0,1.6,100.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 100.0}"
Swanwater West,VIC,SAL22412,2021,36.0,3999.0,3.8,83.3,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Swifts Creek,VIC,SAL22413,2021,50.0,1412.0,2.2,83.3,15.6,"{""family_household_pct"": 61.5, ""non_family_household_pct"": 37.5, ""lone_person_pct"": 39.6}"
Sydenham,VIC,SAL22414,2021,37.0,1813.0,2.8,66.5,31.2,"{""family_household_pct"": 77.4, ""non_family_household_pct"": 22.6, ""lone_person_pct"": 19.9}"
Sylvaterre,VIC,SAL22415,2021,25.0,1499.0,3.2,133.3,0.0,"{""family_household_pct"": 133.3, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 100.0}"
Tabberabbera,VIC,SAL22416,2021,0.0,0.0,0.0,,,
Tabilk,VIC,SAL22417,2021,46.0,1416.0,2.4,80.0,5.5,"{""family_household_pct"": 76.4, ""non_family_household_pct"": 29.1, ""lone_person_pct"": 29.1}"
Tabor,VIC,SAL22418,2021,37.0,1624.0,2.6,38.9,27.8,"{""family_household_pct"": 83.3, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Taggerty,VIC,SAL22419,2021,52.0,1220.0,2.4,87.0,8.4,"{""family_household_pct"": 71.4, ""non_family_household_pct"": 23.4, ""lone_person_pct"": 24.7}"
Tahara,VIC,SAL22420,2021,53.0,2333.0,1.9,83.3,0.0,"{""family_household_pct"": 125.0, ""non_family_household_pct"": 41.7, ""lone_person_pct"": 41.7}"
Tahara Bridge,VIC,SAL22421,2021,53.0,2749.0,2.9,125.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tahara West,VIC,SAL22422,2021,62.0,1666.0,1.8,70.0,0.0,"{""family_household_pct"": 40.0, ""non_family_household_pct"": 40.0, ""lone_person_pct"": 40.0}"
Talbot,VIC,SAL22423,2021,59.0,793.0,1.9,85.6,9.3,"{""family_household_pct"": 54.6, ""non_family_household_pct"": 44.4, ""lone_person_pct"": 43.1}"
Talgarno,VIC,SAL22424,2021,45.0,1895.0,2.6,84.8,14.1,"{""family_household_pct"": 82.6, ""non_family_household_pct"": 15.2, ""lone_person_pct"": 17.4}"
Tallandoon,VIC,SAL22425,2021,52.0,1021.0,2.1,79.4,14.7,"{""family_household_pct"": 61.8, ""non_family_household_pct"": 32.4, ""lone_person_pct"": 29.4}"
Tallangatta,VIC,SAL22426,2021,48.0,1149.0,2.2,75.6,20.7,"{""family_household_pct"": 65.9, ""non_family_household_pct"": 35.2, ""lone_person_pct"": 34.3}"
Tallangatta East,VIC,SAL22427,2021,42.0,1874.0,2.9,100.0,0.0,"{""family_household_pct"": 145.5, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tallangatta South,VIC,SAL22428,2021,45.0,1687.0,2.4,77.6,6.1,"{""family_household_pct"": 81.6, ""non_family_household_pct"": 14.3, ""lone_person_pct"": 14.3}"
Tallangatta Valley,VIC,SAL22429,2021,49.0,1642.0,2.4,94.4,4.2,"{""family_household_pct"": 76.1, ""non_family_household_pct"": 29.6, ""lone_person_pct"": 31.0}"
Tallarook,VIC,SAL22430,2021,50.0,1775.0,2.5,84.1,11.1,"{""family_household_pct"": 77.5, ""non_family_household_pct"": 22.1, ""lone_person_pct"": 21.1}"
Tallygaroopna,VIC,SAL22431,2021,40.0,1769.0,2.8,90.4,8.5,"{""family_household_pct"": 78.2, ""non_family_household_pct"": 21.8, ""lone_person_pct"": 20.7}"
Tambo Crossing,VIC,SAL22432,2021,61.0,1875.0,2.1,75.0,0.0,"{""family_household_pct"": 83.3, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tambo Upper,VIC,SAL22433,2021,47.0,1625.0,2.6,86.8,9.9,"{""family_household_pct"": 80.2, ""non_family_household_pct"": 21.5, ""lone_person_pct"": 19.0}"
Tamboon,VIC,SAL22434,2021,73.0,900.0,1.7,0.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tamboritha,VIC,SAL22435,2021,0.0,0.0,0.0,,,
Taminick,VIC,SAL22436,2021,48.0,1463.0,2.4,78.4,15.7,"{""family_household_pct"": 64.7, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 27.5}"
Tamleugh,VIC,SAL22437,2021,52.0,1312.0,2.1,94.4,0.0,"{""family_household_pct"": 72.2, ""non_family_household_pct"": 38.9, ""lone_person_pct"": 38.9}"
Tamleugh North,VIC,SAL22438,2021,64.0,1125.0,2.5,70.0,0.0,"{""family_household_pct"": 90.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tandarook,VIC,SAL22439,2021,37.0,1312.0,3.1,83.3,0.0,"{""family_household_pct"": 75.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tandarra,VIC,SAL22440,2021,43.0,2125.0,3.2,105.6,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tangambalanga,VIC,SAL22441,2021,33.0,1904.0,2.8,83.4,15.0,"{""family_household_pct"": 82.7, ""non_family_household_pct"": 18.2, ""lone_person_pct"": 17.3}"
Tanjil,VIC,SAL22442,2021,0.0,0.0,0.0,,,
Tanjil Bren,VIC,SAL22443,2021,70.0,450.0,1.0,,,
Tanjil South,VIC,SAL22444,2021,47.0,1819.0,2.6,85.1,7.7,"{""family_household_pct"": 76.9, ""non_family_household_pct"": 23.6, ""lone_person_pct"": 22.6}"
Tanwood,VIC,SAL22445,2021,60.0,1375.0,1.9,150.0,0.0,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 37.5, ""lone_person_pct"": 37.5}"
Tanybryn,VIC,SAL22446,2021,62.0,2250.0,1.8,150.0,0.0,"{""family_household_pct"": 75.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Taradale,VIC,SAL22447,2021,52.0,1468.0,2.3,91.3,2.9,"{""family_household_pct"": 69.2, ""non_family_household_pct"": 33.2, ""lone_person_pct"": 26.4}"
Tarcombe,VIC,SAL22448,2021,57.0,1874.0,1.7,71.4,28.6,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 50.0, ""lone_person_pct"": 50.0}"
Tarilta,VIC,SAL22449,2021,62.0,1374.0,2.4,157.1,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 42.9, ""lone_person_pct"": 42.9}"
Tarnagulla,VIC,SAL22450,2021,59.0,779.0,1.9,98.6,4.3,"{""family_household_pct"": 56.5, ""non_family_household_pct"": 44.9, ""lone_person_pct"": 50.7}"
Tarneit,VIC,SAL22451,2021,30.0,2103.0,3.4,66.6,29.5,"{""family_household_pct"": 86.4, ""non_family_household_pct"": 13.6, ""lone_person_pct"": 10.2}"
Tarnook,VIC,SAL22452,2021,51.0,1541.0,2.3,95.3,0.0,"{""family_household_pct"": 55.8, ""non_family_household_pct"": 23.3, ""lone_person_pct"": 20.9}"
Taroon,VIC,SAL22453,2021,44.0,1875.0,2.6,23.1,0.0,"{""family_household_pct"": 69.2, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tarra Valley,VIC,SAL22454,2021,51.0,1463.0,2.4,89.7,0.0,"{""family_household_pct"": 89.7, ""non_family_household_pct"": 10.3, ""lone_person_pct"": 0.0}"
Tarranyurk,VIC,SAL22455,2021,37.0,2374.0,2.7,57.1,0.0,"{""family_household_pct"": 92.9, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tarraville,VIC,SAL22456,2021,58.0,1062.0,1.8,83.3,0.0,"{""family_household_pct"": 58.3, ""non_family_household_pct"": 33.3, ""lone_person_pct"": 33.3}"
Tarrawarra,VIC,SAL22457,2021,54.0,2700.0,2.9,91.3,0.0,"{""family_household_pct"": 73.9, ""non_family_household_pct"": 17.4, ""lone_person_pct"": 17.4}"
Tarrawingee,VIC,SAL22458,2021,46.0,1416.0,2.6,93.9,6.8,"{""family_household_pct"": 78.4, ""non_family_household_pct"": 25.0, ""lone_person_pct"": 20.9}"
Tarrayoukyan,VIC,SAL22459,2021,57.0,1687.0,2.1,66.7,0.0,"{""family_household_pct"": 108.3, ""non_family_household_pct"": 25.0, ""lone_person_pct"": 25.0}"
Tarrengower,VIC,SAL22460,2021,56.0,1625.0,2.1,83.3,0.0,"{""family_household_pct"": 58.3, ""non_family_household_pct"": 37.5, ""lone_person_pct"": 37.5}"
Tarrenlea,VIC,SAL22461,2021,49.0,2250.0,2.8,41.7,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tarrington,VIC,SAL22462,2021,51.0,1713.0,2.5,85.8,4.7,"{""family_household_pct"": 77.2, ""non_family_household_pct"": 18.9, ""lone_person_pct"": 22.0}"
Tarrone,VIC,SAL22463,2021,39.0,1625.0,2.2,59.3,11.1,"{""family_household_pct"": 63.0, ""non_family_household_pct"": 29.6, ""lone_person_pct"": 29.6}"
Tarwin,VIC,SAL22464,2021,34.0,1916.0,3.3,68.4,21.1,"{""family_household_pct"": 94.7, ""non_family_household_pct"": 15.8, ""lone_person_pct"": 15.8}"
Tarwin Lower,VIC,SAL22465,2021,53.0,1262.0,2.2,88.4,11.1,"{""family_household_pct"": 73.7, ""non_family_household_pct"": 27.4, ""lone_person_pct"": 26.3}"
Tatong,VIC,SAL22466,2021,53.0,1261.0,2.3,93.2,2.6,"{""family_household_pct"": 76.1, ""non_family_household_pct"": 23.9, ""lone_person_pct"": 23.9}"
Tatura,VIC,SAL22467,2021,44.0,1357.0,2.4,74.4,20.7,"{""family_household_pct"": 67.9, ""non_family_household_pct"": 32.0, ""lone_person_pct"": 29.3}"
Tatura East,VIC,SAL22468,2021,38.0,2071.0,3.2,88.1,9.5,"{""family_household_pct"": 85.7, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Tatyoon,VIC,SAL22469,2021,35.0,1481.0,2.8,81.8,18.2,"{""family_household_pct"": 63.6, ""non_family_household_pct"": 31.8, ""lone_person_pct"": 31.8}"
Tawonga,VIC,SAL22470,2021,52.0,1375.0,2.3,87.4,6.7,"{""family_household_pct"": 71.3, ""non_family_household_pct"": 30.5, ""lone_person_pct"": 29.1}"
Tawonga South,VIC,SAL22471,2021,50.0,1392.0,2.2,85.3,13.9,"{""family_household_pct"": 67.5, ""non_family_household_pct"": 32.3, ""lone_person_pct"": 31.3}"
Taylor Bay,VIC,SAL22472,2021,62.0,1075.0,1.6,96.3,0.0,"{""family_household_pct"": 37.0, ""non_family_household_pct"": 59.3, ""lone_person_pct"": 59.3}"
Taylors Hill,VIC,SAL22473,2021,35.0,2374.0,3.5,86.4,9.5,"{""family_household_pct"": 90.4, ""non_family_household_pct"": 9.7, ""lone_person_pct"": 8.8}"
Taylors Lakes,VIC,SAL22474,2021,45.0,2164.0,3.0,86.2,9.7,"{""family_household_pct"": 85.2, ""non_family_household_pct"": 14.8, ""lone_person_pct"": 13.6}"
Teal Point,VIC,SAL22475,2021,43.0,1437.0,2.7,84.2,0.0,"{""family_household_pct"": 84.2, ""non_family_household_pct"": 15.8, ""lone_person_pct"": 15.8}"
Tecoma,VIC,SAL22476,2021,42.0,2022.0,2.6,81.9,14.8,"{""family_household_pct"": 73.1, ""non_family_household_pct"": 26.6, ""lone_person_pct"": 24.6}"
Teddywaddy,VIC,SAL22477,2021,58.0,1437.0,2.2,150.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Teddywaddy West,VIC,SAL22478,2021,69.0,762.0,1.9,37.5,0.0,"{""family_household_pct"": 37.5, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Teesdale,VIC,SAL22479,2021,37.0,2171.0,3.1,92.9,5.3,"{""family_household_pct"": 87.2, ""non_family_household_pct"": 12.7, ""lone_person_pct"": 11.6}"
Telangatuk East,VIC,SAL22480,2021,40.0,1937.0,2.7,92.0,0.0,"{""family_household_pct"": 96.0, ""non_family_household_pct"": 24.0, ""lone_person_pct"": 24.0}"
Telford,VIC,SAL22481,2021,55.0,1624.0,2.7,80.0,30.0,"{""family_household_pct"": 70.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Telopea Downs,VIC,SAL22482,2021,26.0,1906.0,2.9,21.4,21.4,"{""family_household_pct"": 57.1, ""non_family_household_pct"": 28.6, ""lone_person_pct"": 21.4}"
Templestowe,VIC,SAL22483,2021,46.0,2163.0,2.8,82.2,14.0,"{""family_household_pct"": 81.9, ""non_family_household_pct"": 18.1, ""lone_person_pct"": 16.9}"
Templestowe Lower,VIC,SAL22484,2021,45.0,1920.0,2.7,80.0,17.6,"{""family_household_pct"": 78.8, ""non_family_household_pct"": 21.2, ""lone_person_pct"": 19.4}"
Tempy,VIC,SAL22485,2021,41.0,1125.0,2.6,95.2,0.0,"{""family_household_pct"": 66.7, ""non_family_household_pct"": 23.8, ""lone_person_pct"": 23.8}"
Tenby Point,VIC,SAL22486,2021,52.0,1286.0,2.2,91.5,12.2,"{""family_household_pct"": 68.3, ""non_family_household_pct"": 35.4, ""lone_person_pct"": 28.0}"
Tennyson,VIC,SAL22487,2021,48.0,1437.0,2.8,43.5,17.4,"{""family_household_pct"": 69.6, ""non_family_household_pct"": 17.4, ""lone_person_pct"": 17.4}"
Terang,VIC,SAL22488,2021,49.0,1162.0,2.2,74.2,20.3,"{""family_household_pct"": 64.3, ""non_family_household_pct"": 36.1, ""lone_person_pct"": 32.0}"
Terip Terip,VIC,SAL22489,2021,58.0,1812.0,2.0,80.0,0.0,"{""family_household_pct"": 68.6, ""non_family_household_pct"": 28.6, ""lone_person_pct"": 28.6}"
Terrappee,VIC,SAL22490,2021,52.0,3125.0,2.7,60.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Terrick Terrick,VIC,SAL22491,2021,57.0,850.0,1.4,133.3,0.0,"{""family_household_pct"": 200.0, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 100.0}"
Terrick Terrick East,VIC,SAL22492,2021,60.0,899.0,1.5,0.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 50.0, ""lone_person_pct"": 50.0}"
Tesbury,VIC,SAL22493,2021,44.0,1875.0,3.0,90.0,0.0,"{""family_household_pct"": 83.3, ""non_family_household_pct"": 26.7, ""lone_person_pct"": 26.7}"
Tetoora Road,VIC,SAL22494,2021,49.0,1062.0,2.8,76.5,8.8,"{""family_household_pct"": 64.7, ""non_family_household_pct"": 17.6, ""lone_person_pct"": 11.8}"
Thalia,VIC,SAL22495,2021,51.0,762.0,1.5,75.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 100.0}"
The Basin,VIC,SAL22496,2021,40.0,2019.0,2.7,87.7,10.3,"{""family_household_pct"": 78.6, ""non_family_household_pct"": 21.4, ""lone_person_pct"": 19.5}"
The Cove,VIC,SAL22497,2021,61.0,2249.0,2.5,33.3,33.3,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
The Gurdies,VIC,SAL22498,2021,57.0,1037.0,2.1,87.6,11.5,"{""family_household_pct"": 59.3, ""non_family_household_pct"": 37.2, ""lone_person_pct"": 38.9}"
The Heart,VIC,SAL22499,2021,42.0,2583.0,2.7,0.0,0.0,"{""family_household_pct"": 122.2, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
The Honeysuckles,VIC,SAL22500,2021,60.0,966.0,1.9,92.5,0.0,"{""family_household_pct"": 67.9, ""non_family_household_pct"": 37.7, ""lone_person_pct"": 43.4}"
The Patch,VIC,SAL22501,2021,46.0,2092.0,2.7,92.7,6.8,"{""family_household_pct"": 84.9, ""non_family_household_pct"": 17.0, ""lone_person_pct"": 14.3}"
The Sisters,VIC,SAL22502,2021,43.0,2107.0,2.4,73.2,9.8,"{""family_household_pct"": 65.9, ""non_family_household_pct"": 36.6, ""lone_person_pct"": 34.1}"
Thologolong,VIC,SAL22503,2021,60.0,1625.0,2.3,85.7,0.0,"{""family_household_pct"": 114.3, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Thomastown,VIC,SAL22504,2021,39.0,1225.0,2.6,67.7,28.7,"{""family_household_pct"": 72.6, ""non_family_household_pct"": 27.4, ""lone_person_pct"": 24.3}"
Thomson,VIC,SAL22505,2021,0.0,0.0,0.0,,,
Thomson,VIC,SAL22506,2021,38.0,1126.0,1.9,44.5,51.4,"{""family_household_pct"": 48.1, ""non_family_household_pct"": 51.9, ""lone_person_pct"": 45.4}"
Thoona,VIC,SAL22507,2021,53.0,1149.0,2.3,101.9,9.6,"{""family_household_pct"": 63.5, ""non_family_household_pct"": 38.5, ""lone_person_pct"": 38.5}"
Thornbury,VIC,SAL22508,2021,37.0,1971.0,2.3,55.9,41.9,"{""family_household_pct"": 58.9, ""non_family_household_pct"": 41.0, ""lone_person_pct"": 33.7}"
Thornhill Park,VIC,SAL22509,2021,29.0,2005.0,3.0,72.1,24.8,"{""family_household_pct"": 83.2, ""non_family_household_pct"": 16.6, ""lone_person_pct"": 14.4}"
Thornton,VIC,SAL22510,2021,55.0,1048.0,2.0,75.3,14.4,"{""family_household_pct"": 54.8, ""non_family_household_pct"": 42.5, ""lone_person_pct"": 41.1}"
Thorpdale,VIC,SAL22511,2021,46.0,1220.0,2.4,81.6,9.7,"{""family_household_pct"": 74.1, ""non_family_household_pct"": 24.9, ""lone_person_pct"": 23.2}"
Thorpdale South,VIC,SAL22512,2021,48.0,1375.0,2.5,171.4,0.0,"{""family_household_pct"": 71.4, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Thowgla Valley,VIC,SAL22513,2021,57.0,1375.0,2.4,70.4,0.0,"{""family_household_pct"": 77.8, ""non_family_household_pct"": 14.8, ""lone_person_pct"": 14.8}"
Three Bridges,VIC,SAL22514,2021,46.0,1449.0,2.7,95.3,9.4,"{""family_household_pct"": 79.7, ""non_family_household_pct"": 23.4, ""lone_person_pct"": 23.4}"
Timbarra,VIC,SAL22515,2021,0.0,0.0,0.0,,,
Timboon,VIC,SAL22516,2021,47.0,1237.0,2.4,78.9,17.4,"{""family_household_pct"": 69.3, ""non_family_household_pct"": 29.1, ""lone_person_pct"": 27.5}"
Timboon West,VIC,SAL22517,2021,37.0,1937.0,3.1,55.0,0.0,"{""family_household_pct"": 90.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Timmering,VIC,SAL22518,2021,33.0,1542.0,2.9,63.3,43.3,"{""family_household_pct"": 80.0, ""non_family_household_pct"": 10.0, ""lone_person_pct"": 10.0}"
